Périodes,01,02,03,04,05,06,07,08,09,10,11,12,Année
1811-1840,-1.0,0.3,3.1,8.0,12.6,15.9,16.9,17.7,13.4,7.4,5.6,0.1,8.3
1841-1870,-0.6,0.9,3.3,8.3,12.6,16.6,17.9,17.0,13.8,8.4,3.7,0.5,8.5
1871-1900,-0.1,1.4,3.8,7.7,11.2,15.2,17.3,16.6,13.7,7.9,4.1,0.4,8.3
1901-1930,0.7,1.6,4.6,7.9,11.9,15.4,17.1,16.2,13.4,9.1,3.7,1.9,8.6
1931-1960,0.3,1.0,5.9,8.5,12.7,15.9,17.4,16.8,13.9,8.9,4.7,1.3,8.8
1951-1980,0.7,1.7,4.9,8.4,12.6,15.8,17.3,16.7,13.9,9.3,4.6,1.7,9.0
