Périodes,01,02,03,04,05,06,07,08,09,10,11,12,Année
Minimum,-6.5,-7.8,0.6,3.8,4.9,12.5,14.0,11.1,9.5,4.5,0.0,-6.7,6.5
Annee,1940,1956,1892,1903,1899,1923,1841,1898,1912,1909,1921,1879,1879
Maximum,5.8,7.5,8.4,14.9,18.4,21.0,22.8,21.2,18.1,13.9,7.8,6.1,10.2
Annee,1916,1869,1981,1844,1868,1846,1852,1947,1865,1911,1963,1921,1921/1959
